"project_id","total_fund_rasing","stage","stage_status","biz_type","csrc_code","law_office_id","sponsor_id","sponsor_name","accounting_firm_id","accounting_firm_name","rating_agency_id","rating_agency_name","accept_apply_date","law_office_name","asset_evaluation_institute_id","asset_evaluation_institute_name","company_id","update_date","create_date","company_name","stage_name","stage_status_name","issue_market","csrc_desc","accept_apply_time","update_time","create_time"
"754",3.1535,8,,1,"C39","10019","0_1040","华安证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20201026110530","安徽天禾律师事务所","30063","中水致远资产评估有限公司","d2fae6efa8305922c17355ca5170fba1","20210127091320","20201015152623","龙迅半导体（合肥）股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1603681530000,1611710000000,1602746783000
"647",13.4653,8,,1,"I65","10004","0_1095","中信建投证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200629160145","上海市锦天城律师事务所","30003","北京国融兴华资产评估有限责任公司","236a35d51a8d0f80e92ec391aabf94da","20210125181125","20200624192058","锐芯微电子股份有限公司","终止","",1,"软件和信息技术服务业",1593417705000,1611569485000,1592997658000
"474",5.8733,8,,1,"C26","11419","0_1032","国泰君安证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200526084026","国浩律师（杭州）事务所","30032","坤元资产评估有限公司","9a4d23dbb13715df4d34ccbadbe05653","20210125112928","20200521145707","浙江光华科技股份有限公司","终止","",1,"化学原料和化学制品制造业",1590453626000,1611545368000,1590044227000
"775",4.0815,8,,1,"C27","10004","0_1096","中信证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20201120161323","上海市锦天城律师事务所","30071","万隆（上海）资产评估有限公司","96525ae6e0da13a451804598313027f7","20210125080400","20201110193148","丹娜（天津）生物科技股份有限公司","终止","",1,"医药制造业",1605860003000,1611533040000,1605007908000
"748",9.1639,8,,1,"C30","11420","0_1035","海通证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20201015090403","国浩律师（上海）事务所","30047","天源资产评估有限公司","853f422e7ccb388cbe6da8db0163a6ea","20210121193621","20201008201213","洛阳中超新材料股份有限公司首次公开发行并在科创板上市","终止","",1,"非金属矿物制品业",1602723843000,1611228981000,1602159133000
"744",10,8,,1,"C39","10006","0_1095","中信建投证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20201009140805","北京市中伦律师事务所","30059","中京民信(北京)资产评估有限公司","f87a56a7d5ed83fac82d815ff5adf4bf","20210121193602","20200929141514","北京中科晶上科技股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1602223685000,1611228962000,1601360114000
"462",6.7384,5,1,1,"I65","10008","0_1028","国金证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20200514092126","北京国枫律师事务所","30063","中水致远资产评估有限公司","49445775e3167953ce33b0deca925361","20210120111237","20200508133111","罗普特科技集团股份有限公司","注册结果","注册生效",1,"软件和信息技术服务业",1589419286000,1611112357000,1588915871000
"437",3.0153,8,,1,"C35","10008","0_1021","东莞证券股份有限公司","20029","致同会计师事务所（特殊普通合伙）","","","20200507170249","北京国枫律师事务所","30026","国众联资产评估土地房地产估价有限公司","b26f47829ced9ef2f28d77b3fc75e278","20210119200117","20200428105014","广东鸿铭智能股份有限公司","终止","",1,"专用设备制造业",1588842169000,1611057677000,1588042214000
"702",6,8,,1,"C39","10004","0_1078","湘财证券股份有限公司","20027","信永中和会计师事务所（特殊普通合伙）","","","20200902151714","上海市锦天城律师事务所","30031","开元资产评估有限公司","10800d55b66c31a9b9f8dc32c0165b84","20210119165222","20200828111839","包头天和磁材科技股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1599031034000,1611046342000,1598584719000
"403",4.5086,5,1,1,"C37","10009","0_1032","国泰君安证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200420084848","北京市金杜律师事务所","30031","开元资产评估有限公司","d5d7edfa9031edc684a833bee29bd51c","20210118114156","20200410150148","成都纵横自动化技术股份有限公司","注册结果","注册生效",1,"铁路、船舶、航空航天和其他运输设备制造业",1587343728000,1610941316000,1586502108000
