"file_id","file_name","file_url","publish_time","file_type_of_process","file_type_of_audit","file_type_of_process_desc","file_type_of_audit_desc","company_name","stage","stage_name","project_id","company_id","publish_date"
"财通证券股份有限公司关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市之上市保荐书.pdf","财通证券股份有限公司关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市之上市保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/d87e72a883664f6ba511bb894a8881e1.pdf",1677772800000,4,,"申报稿","上市保荐书","大洋世家（浙江）股份公司",4,"申报稿","大洋世家（浙江）股份公司","大洋世家（浙江）股份公司","2023-03-03"
"中汇会计师事务所（特殊普通合伙）关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","中汇会计师事务所（特殊普通合伙）关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","http://static.sse.com.cn/stock/information/c/202303/2d05ab0a75f44b478261167e8b74aa21.pdf",1677772800000,4,,"申报稿","审计报告","大洋世家（浙江）股份公司",4,"申报稿","大洋世家（浙江）股份公司","大洋世家（浙江）股份公司","2023-03-03"
"浙江天册律师事务所关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市的法律意见书.pdf","浙江天册律师事务所关于大洋世家（浙江）股份公司首次公开发行股票并在主板上市的法律意见书.pdf","http://static.sse.com.cn/stock/information/c/202303/cb84abd487a04e5a82fe95d2101b1d70.pdf",1677772800000,4,,"申报稿","法律意见书","大洋世家（浙江）股份公司",4,"申报稿","大洋世家（浙江）股份公司","大洋世家（浙江）股份公司","2023-03-03"
"福洋生物主板IPO_山东福洋生物科技股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","福洋生物主板IPO_山东福洋生物科技股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","http://static.sse.com.cn/stock/information/c/202303/a7574e31350749c5b8b9887fa33cd09d.pdf",1677772800000,4,3,"申报稿","招股说明书","福洋生物主板IPO",4,"申报稿","福洋生物主板IPO","福洋生物主板IPO","2023-03-03"
"福洋生物主板IPO_国泰君安证券股份有限公司关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市之发行保荐书.pdf","福洋生物主板IPO_国泰君安证券股份有限公司关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市之发行保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/4e0c54eb8f464647a7880660d3c3c1ba.pdf",1677772800000,4,,"申报稿","发行保荐书","福洋生物主板IPO",4,"申报稿","福洋生物主板IPO","福洋生物主板IPO","2023-03-03"
"福洋生物主板IPO_国泰君安证券股份有限公司关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","福洋生物主板IPO_国泰君安证券股份有限公司关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/d74a392e27084a669500b60800714e3d.pdf",1677772800000,4,,"申报稿","上市保荐书","福洋生物主板IPO",4,"申报稿","福洋生物主板IPO","福洋生物主板IPO","2023-03-03"
"福洋生物主板IPO_永拓会计师事务所（特殊普通合伙）关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","福洋生物主板IPO_永拓会计师事务所（特殊普通合伙）关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","http://static.sse.com.cn/stock/information/c/202303/777d106b44004ca7b98d2899fa6770da.pdf",1677772800000,4,,"申报稿","审计报告","福洋生物主板IPO",4,"申报稿","福洋生物主板IPO","福洋生物主板IPO","2023-03-03"
"福洋生物主板IPO_山东文康律师事务所关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","福洋生物主板IPO_山东文康律师事务所关于山东福洋生物科技股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","http://static.sse.com.cn/stock/information/c/202303/567c845091164ec19e369087e12b586d.pdf",1677772800000,4,,"申报稿","法律意见书","福洋生物主板IPO",4,"申报稿","福洋生物主板IPO","福洋生物主板IPO","2023-03-03"
"合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_合肥汇通控股股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_合肥汇通控股股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","http://static.sse.com.cn/stock/information/c/202303/4646de304c6c45efa35f8f0a3112214f.pdf",1677772800000,4,3,"申报稿","招股说明书","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目",4,"申报稿","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","2023-03-03"
"长江证券承销保荐有限公司关于湖北祥云（集团）化工股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","长江证券承销保荐有限公司关于湖北祥云（集团）化工股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/5bfacc7384f647cab8afd56da817ac08.pdf",1677772800000,4,,"申报稿","上市保荐书","湖北祥云（集团）化工股份有限公司",4,"申报稿","湖北祥云（集团）化工股份有限公司","湖北祥云（集团）化工股份有限公司","2023-03-03"
