"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"沪市主板",1669132800000,2314,"2022-11-23",3
"深市主板",1669132800000,1162,"2022-11-23",4
"创业板",1669219200000,1040,"2022-11-24",2
"科创板",1669219200000,836,"2022-11-24",1
"沪市主板",1669219200000,2314,"2022-11-24",3
"深市主板",1669219200000,1162,"2022-11-24",4
"创业板",1669305600000,1041,"2022-11-25",2
"科创板",1669305600000,837,"2022-11-25",1
"沪市主板",1669305600000,2314,"2022-11-25",3
"科创板",1669392000000,837,"2022-11-26",1
"沪市主板",1669392000000,2314,"2022-11-26",3
"深市主板",1669392000000,1162,"2022-11-26",4
"创业板",1669478400000,1041,"2022-11-27",2
"科创板",1669478400000,837,"2022-11-27",1
"沪市主板",1669478400000,2314,"2022-11-27",3
"深市主板",1669478400000,1162,"2022-11-27",4
"深市主板",1669564800000,1162,"2022-11-28",4
"沪市主板",1669651200000,2314,"2022-11-29",3
"创业板",1669564800000,1041,"2022-11-28",2
"科创板",1669564800000,837,"2022-11-28",1
"沪市主板",1669564800000,2314,"2022-11-28",3
"创业板",1669651200000,1041,"2022-11-29",2
"科创板",1669651200000,838,"2022-11-29",1
"深市主板",1669651200000,1162,"2022-11-29",4
"创业板",1669737600000,1041,"2022-11-30",2
"科创板",1669737600000,839,"2022-11-30",1
"沪市主板",1669737600000,2314,"2022-11-30",3
"深市主板",1669737600000,1162,"2022-11-30",4
"创业板",1669824000000,1041,"2022-12-01",2
"科创板",1669824000000,839,"2022-12-01",1
"沪市主板",1669824000000,2314,"2022-12-01",3
"深市主板",1669824000000,1162,"2022-12-01",4
"创业板",1669910400000,1041,"2022-12-02",2
"科创板",1669910400000,839,"2022-12-02",1
"沪市主板",1669910400000,2315,"2022-12-02",3
"深市主板",1669910400000,1162,"2022-12-02",4
"创业板",1669996800000,1041,"2022-12-03",2
"科创板",1669996800000,839,"2022-12-03",1
"沪市主板",1669996800000,2315,"2022-12-03",3
"深市主板",1669996800000,1162,"2022-12-03",4
"创业板",1670083200000,1041,"2022-12-04",2
"科创板",1670083200000,839,"2022-12-04",1
"沪市主板",1670083200000,2315,"2022-12-04",3
"深市主板",1670083200000,1162,"2022-12-04",4
"沪市主板",1671120000000,2317,"2022-12-16",3
"深市主板",1671120000000,1168,"2022-12-16",4
